TAU(MFT),wind,sst,airT,Pressure,WaveL,WaveH,TAU(obs)
0.418911964,9.7492,6.6,3.6437,1008.4945,11.1352,2.9859,0.5126
0.514084041,11.1145,6.6,3.5982,1008.4091,11.1636,2.9745,0.4653
0.572290838,11.9158,6.5943,2.8149,1006.9865,11.5489,2.8,0.6315
0.569554448,11.8779,6.5929,2.7936,1006.9581,11.5362,2.8,0.5274
1.101924539,18.4902,6.5972,2.7112,1002.7028,7.1056,3.507,0.9983
0.804295242,14.9859,6.1,5.2,1007.5507,8.7746,4.2254,0.7134
1.013470173,17.501,6.0972,5.2141,1008.1028,8.4859,4.4943,0.7844
0.896031201,16.1135,6.0957,5.2213,1008.1042,8.4787,4.4915,0.8265
0.893526077,16.0873,6,5.7014,1008.2199,8.0043,4.3043,0.7404
0.927525342,16.4955,6,5.7028,1008.2398,8.0085,4.3085,0.7211
0.821530759,15.2054,6,5.7043,1008.2597,8.0128,4.3128,0.6962
0.841638267,15.4542,6,5.7099,1008.3392,8.0298,4.3298,0.6947
0.917516947,16.3765,6,5.7915,1009.693,8.3,4.5746,0.6923
0.73707056,14.1398,6,5.7873,1009.74,8.3,4.5618,0.6133
0.763049841,14.4708,6,5.7,1010.6998,8.3,4.3,0.6753
0.727414131,14.0149,6,5.7014,1010.7225,8.293,4.3056,0.6334
0.742633104,14.2104,6,5.7028,1010.7452,8.2859,4.3113,0.6365
0.842668891,15.4669,6,5.7085,1010.8363,8.2574,4.3341,0.7132
0.828977466,15.2985,6,5.8,1012.3,7.8,4.7,0.7686
0.726527154,14.0052,6,5.8999,1012.9994,8.7992,4.6001,0.6245
0.668118119,13.2438,6,5.9,1013.0221,8.7779,4.6028,0.6442
0.848037183,15.5344,6,5.9,1013.0563,8.7437,4.607,0.6141
0.762462258,14.465,6,5.9,1013.0677,8.7323,4.6085,0.6645
0.679289401,13.3908,6.0128,5.9128,1013.9662,8.1406,4.6872,0.5736
0.580442548,12.0672,6.1,6,1015.1,9.1,4.6,0.538
0.549021661,11.6354,6.0929,5.9929,1015.1568,9.1,4.6,0.5894
0.536494017,11.4617,6.0001,5.9001,1015.8994,9.1,4.6,0.458
0.655228198,13.0734,6,5.9,1015.9249,9.1111,4.5889,0.5165
0.543475807,11.5586,6,5.9,1015.9505,9.1224,4.5776,0.4722
0.545301676,11.5839,6,5.9,1015.9761,9.1338,4.5662,0.4746
