TAU(MFT),wind,sst,airT,Pressure,TAU(obs)
0.198552,11.2,12.9,10.4,101325,0.181781462201183
0.271531,12.8,13,10,101325,0.269027433545354
0.27035,12.8,13.8,11.2,101325,0.275102689917783
0.251229,12.4,13.8,11.2,101325,0.35848884222525
0.160245,10.2,13.7,11.3,101325,0.286251113534952
0.864914,21.1,12.8,12.4,101325,1.35470478333842
0.94776,21.9,12.7,12.4,101325,1.24866043822971
0.862612,21.1,12.5,12.4,101325,0.99726427791233
0.833568,20.8,12.5,12.3,101325,1.01598551662905
0.898593,21.4,12.9,12.2,101325,1.18618354397623
0.846332,20.8,13.1,11.3,101325,1.51544402733984
0.557452,17.5,13.5,11.4,101325,0.676612422292113
0.468049,16.2,13.7,11,101325,0.721807349643934
0.396238,15.1,13.7,11,101325,0.513139912694384
0.401043,15.2,13.8,11.3,101325,0.308086432677585
0.471975,16.3,13.8,11.5,101325,0.304418544113199
0.234404,12,13.9,10.6,101325,0.595786413070993
0.351333,14.3,13.8,10.6,101325,0.471140849428279
0.39463,15,13.9,10.4,101325,0.273799415631224
0.308635,13.5,13.9,10.4,101325,0.303539009025199
0.186371,10.8,14,10.3,101325,0.209120539402518
0.080154,7.4,14,10.5,101325,0.167636809800234
0.011685,2.8,13.6,10,101325,0.175670287755215
0.031558,4.8,12.3,9.7,101325,0.155725399341276
0.288139,13.1,12.4,9.2,101325,0.305746692541391
0.508936,16.9,14.4,12.7,101325,0.589425152160985
0.615682,18.3,14.5,12.9,101325,0.950780563537139
0.636965,18.5,14.6,12.4,101325,0.826339070841988
0.608181,18.2,14.6,12.9,101325,0.803807763087668
0.683537,19.1,14.7,13,101325,0.859127708783741
0.366908,14.9,14.4,13.7,101325,0.589847437902378
0.200486,11.5,15.2,14.1,101325,0.34080918414855
0.127782,9.3,15.6,13.3,101325,0.185425618510496
0.063502,6.7,15.6,12.6,101325,0.125169844611232
0.050823,6,15.7,12.3,101325,0.085456421642847
0.329495,14.1,15.7,13.7,101325,0.388534605923333
0.122754,9.2,15.6,13.7,101325,0.619127813944746
0.406304,14.8,16.5,8,101325,0.360238948477257
0.24707,11.9,14.9,7.2,101325,0.385342159645165
0.212463,11.1,15.1,7,101325,0.26370627599661
0.317158,13.2,15.2,6.2,101325,0.268165639111352
0.400708,14.7,14.7,6.7,101325,0.472191317158628
0.263417,12.2,15.5,7.1,101325,0.312818621568474
0.348349,13.8,15.8,7.2,101325,0.395447404846713
0.288938,12.7,16.2,7.4,101325,0.237631668764919
0.219829,11.3,16,8.2,101325,0.215557416944999
0.184173,10.5,14.7,8.1,101325,0.164698330289047
0.214638,11.2,14.2,6.9,101325,0.143546542974744
0.145706,9.4,14.6,7.2,101325,0.257055188626878
0.196585,10.8,14.5,7.6,101325,0.385656751529128
0.246721,12.1,17.6,12.1,101325,0.196007372310329
0.199325,11,17.7,12.1,101325,0.273672523282846
0.12069,8.8,17.7,12.6,101325,0.19465726290072
0.397335,15.5,17.3,17,101325,0.51139159163991
0.509325,17.2,17.3,17.3,101325,0.579550860580847
0.541627,17.6,17.3,17,101325,0.683609954579364
0.55272,17.7,17.3,16.6,101325,0.684997459849305
0.636086,18.8,17.3,16.9,101325,1.0100565627726
0.428098,15.9,17.4,16.4,101325,0.628964164320989
0.405538,15.6,17.4,17.2,101325,0.523208906652018
0.393079,15.4,17.4,17.2,101325,0.607118975160553
0.357756,14.8,17.5,17.2,101325,0.400903604373919
0.376217,15.1,17.5,17.1,101325,0.526421665587578
0.422552,15.8,17.5,16.9,101325,0.518499373191521
0.435694,16,17.4,16.8,101325,0.580445975091567
0.328548,14.2,17.5,16.7,101325,0.463028087700952
0.354858,14.5,17.4,14.9,101325,0.368447241813533
0.331454,14.2,17.3,15.9,101325,0.380121691041172
0.4018,15.4,17.3,16.1,101325,0.610502293197986
0.438959,16,17.2,16.2,101325,0.592068441989606
0.389605,15.2,17.1,16.1,101325,0.555780838100775
0.309678,13.8,17.2,16.2,101325,0.37048223979025
0.082071,7.7,17.4,16.2,101325,0.240030935506238
0.450815,16.4,16.9,17.2,101325,0.581566685772148
0.514039,17.3,17,17.3,101325,0.617530412206557
0.529556,17.5,17.4,17.4,101325,0.354132630521391
0.565556,18.1,17.4,18.2,101325,0.63907953339158
0.556553,18,17.4,18.3,101325,0.782904444999516
0.4895,17,17.4,17.7,101325,0.714306915828203
0.221309,12,17.4,16,101325,0.40428368752647
0.077133,7.5,17.4,15.6,101325,0.167488984712428
0.074306,7.4,17.4,16,101325,0.057362095498683
0.172611,10.7,17.4,15.5,101325,0.168415705918421
0.099121,8.2,17.3,13.7,101325,0.220999954751127
0.59752,18.5,17.2,18.2,101325,0.995704132762338
0.568173,18.1,17.2,18,101325,0.782824118177257
0.512873,17.2,17.2,17,101325,0.687133989844775
0.326071,14.1,17.2,15.8,101325,0.412146017814075
0.247758,12.5,17.2,15.4,101325,0.248459936408267
0.16446,10.5,17.3,15.8,101325,0.277100559364286
0.211093,11.7,17.2,15.7,101325,0.21220636182735
0.183462,11.1,17.3,16.5,101325,0.20809538678212
0.077676,7.4,17.2,14.6,101325,0.054062556358352
0.022857,4.1,17.2,14.7,101325,0.065906372984712
0.130916,9.6,17.3,16.4,101325,0.146348898185125
0.131273,9.6,17.3,16.5,101325,0.154854286346875
0.080218,7.7,17.3,16.2,101325,0.050916598472404
0.134936,9.3,17.3,12.3,101325,0.165701659617519
0.114934,8.7,17.3,13.2,101325,0.155840463294999
0.041513,5.4,17.3,13.4,101325,0.068689591642402
0.049575,5.9,17.3,13.8,101325,0.058686029001799
0.066538,6.8,17.4,13.9,101325,0.083124063904504
0.093088,7.9,17.4,13.3,101325,0.103986249090925
0.076354,7.2,17.5,13.3,101325,0.074082116600432
0.051262,5.9,17.5,12.3,101325,0.053403464307103
0.069926,6.9,17.3,13,101325,0.113352988491702
0.157464,9.9,17.4,11.6,101325,0.092002826043552
0.047852,5.7,17.4,12.1,101325,0.049691951058496
0.012881,2.9,17.4,12.4,101325,0.020747288979527
0.047246,5.7,17.4,12.7,101325,0.133687284361677
0.053926,6.1,17.3,13,101325,0.057163799733748
0.138349,9.4,17.3,12.4,101325,0.163103034919648
0.121174,8.8,17.3,11.7,101325,0.23215792039041
0.125054,9.1,16.5,13.1,101325,0.058835788428473
0.069344,7,16.3,13.6,101325,0.057621697302318
0.011317,2.8,16.7,14.1,101325,0.028640006983239
0.029656,4.7,16.2,14.1,101325,0.038864508230518
0.086355,8,16,15.3,101325,0.076500588233033
0.111097,8.9,16.1,15.1,101325,0.080130206539107
0.261599,12.8,15.4,13.8,101325,0.212868034237177
0.263037,12.8,15.5,13.8,101325,0.251628496001546
0.156649,10.2,15.4,13.5,101325,0.257416743822153
0.155318,10.1,15.4,13.1,101325,0.184342751417028
0.13753,9.6,15.4,13.4,101325,0.160375465704702
0.136835,9.6,15.4,13.6,101325,0.153844369412728
0.095414,8.2,15.3,13.8,101325,0.124890752259725
0.117638,9,15.6,14,101325,0.168175295450907
0.074653,7.3,16,14.1,101325,0.036335244598048
0.060044,6.6,16.1,14.2,101325,0.07314622341584
0.146321,9.9,16.1,14.3,101325,0.146682821080043
0.164024,10.4,16.1,14.2,101325,0.200354735406978
0.134329,9.5,16.1,14,101325,0.199738954638298
0.153958,10.1,15.9,13.9,101325,0.122095249702845
0.151843,10.1,15.7,14.1,101325,0.098607301960859
0.283797,13.3,15.9,14.8,101325,0.37199494620223
0.217574,11.9,16,14.9,101325,0.422875891958858
0.480654,16.6,16,14.8,101325,0.86762434843658
0.584037,18,16,14.7,101325,0.614521358457133
0.583185,18,16,14.8,101325,0.787145761596923
0.341385,14.4,16,14.7,101325,0.386421453855761
0.612936,18.3,15.9,14.4,101325,0.63210968984821
0.638149,18.5,15.9,13.5,101325,0.350642624334236
0.641315,18.5,15.9,13.1,101325,0.483250090532842
0.549024,17.3,15.8,12.8,101325,0.747843111889118
0.580715,17.7,15.7,12.6,101325,0.664496711805258
0.43591,15.8,14.2,12.5,101325,0.566081548895563
0.491131,16.6,13.6,11.6,101325,0.52900136105685
0.699976,19.2,13.9,11.9,101325,0.861726830265833
0.631507,18.4,13.9,11.9,101325,0.917871695826819
0.518939,16.9,14,11.4,101325,0.732183098685022
0.621234,18.2,13.9,11.3,101325,0.776797966011755
0.58749,17.8,13.9,11.5,101325,0.659673676903967
0.504609,16.7,13.9,11.3,101325,0.645200162740215
0.419659,15.4,14.2,11,101325,0.482073490248116
0.551081,17.3,14.2,11.4,101325,0.734208607958256
0.49205,16.5,14.1,11.2,101325,0.554740461837786
0.435488,15.7,13.7,11.2,101325,0.543223720027025
0.391491,15,13.8,11.2,101325,0.501664210403732
0.378117,14.8,13.8,11.4,101325,0.507043292037278
0.28931,13.2,13.8,11.4,101325,0.270258024857727
0.198447,11.2,13.9,11.4,101325,0.170044141328068
0.150043,9.9,13.9,11.4,101325,0.167272741353754
0.127007,9.2,13.9,11.5,101325,0.132617231157946
0.114794,8.8,13.8,11.5,101325,0.069932896407914
0.030878,4.6,13.9,9.4,101325,0.069948624003621
0.049727,5.8,14.1,9.3,101325,0.068987317675063
0.087478,7.6,14.1,9.6,101325,0.032240502477474
0.045962,5.6,14,9.5,101325,0.039309286434633
